fecha,ultimo,apertura,maximo,minimo,vol,var
2003-01-02,31.85,31.6,32.09,31.4,62480.0,2.08
2003-01-03,33.08,31.98,33.25,31.9,68420.0,3.86
2003-01-06,32.1,33.08,33.33,31.91,98250.0,-2.96
2003-01-07,31.08,32.11,32.4,30.51,124280.0,-3.18
2003-01-08,30.56,31.05,31.3,29.75,108040.0,-1.67
2003-01-09,31.99,30.6,32.05,30.47,111720.0,4.68
2003-01-10,31.68,31.99,32.38,31.35,98560.0,-0.97
2003-01-13,32.26,31.3,32.38,31.13,90730.0,1.83
2003-01-14,32.37,32.25,32.9,31.88,114000.0,0.34
2003-01-15,33.21,32.4,33.29,32.28,111650.0,2.59
2003-01-16,33.66,33.15,33.98,33.0,71770.0,1.36
2003-01-17,33.91,33.65,34.0,32.9,73640.0,0.74
2003-01-21,34.61,33.76,35.2,33.38,67090.0,2.06
2003-01-22,32.85,33.05,33.44,32.65,84590.0,-5.09
2003-01-23,32.25,32.86,33.0,31.9,109020.0,-1.83
2003-01-24,33.28,32.25,33.4,32.11,95520.0,3.19
2003-01-27,32.29,33.34,33.53,32.25,88860.0,-2.97
2003-01-28,32.67,32.39,32.84,32.29,56610.0,1.18
2003-01-29,33.63,32.73,33.85,32.3,98100.0,2.94
2003-01-30,33.85,33.63,33.95,33.34,61890.0,0.65
2003-01-31,33.51,33.88,33.88,33.32,92520.0,-1.0
2003-02-03,32.76,33.33,33.47,32.65,74750.0,-2.24
2003-02-04,33.58,32.76,33.72,32.55,81570.0,2.5
2003-02-05,33.93,33.53,34.28,33.12,88320.0,1.04
2003-02-06,34.16,33.93,34.45,33.78,85550.0,0.68
2003-02-07,35.12,34.12,35.25,34.12,99480.0,2.81
2003-02-10,34.48,34.9,35.38,34.3,90530.0,-1.82
2003-02-11,35.44,34.55,35.6,34.34,95200.0,2.78
2003-02-12,35.77,35.4,35.95,35.1,113200.0,0.93
2003-02-13,36.36,35.7,36.4,35.7,95540.0,1.65
2003-02-14,36.8,36.49,36.85,35.88,86110.0,1.21
2003-02-18,36.96,36.38,37.05,36.0,47150.0,0.43
2003-02-19,37.16,36.71,37.45,36.36,61380.0,0.54
2003-02-20,36.79,37.21,37.55,36.1,50520.0,-1.0
2003-02-21,35.58,34.8,35.95,34.7,76700.0,-3.29
2003-02-24,36.48,35.47,36.52,35.47,71130.0,2.53
2003-02-25,36.06,36.53,37.1,35.9,111120.0,-1.15
2003-02-26,37.7,36.06,37.93,35.96,122300.0,4.55
2003-02-27,37.2,37.8,39.99,37.1,158960.0,-1.33
2003-02-28,36.6,37.22,37.55,36.3,95700.0,-1.61
2003-03-03,35.88,36.45,36.45,35.36,68660.0,-1.97
2003-03-04,36.89,35.92,37.18,35.92,81810.0,2.81
2003-03-05,36.69,36.9,37.48,35.9,87730.0,-0.54
2003-03-06,37.0,36.81,37.2,36.5,61130.0,0.84
2003-03-07,37.78,37.1,37.84,36.8,76890.0,2.11
2003-03-10,37.27,37.78,38.2,37.1,77500.0,-1.35
2003-03-11,36.72,37.25,37.45,36.33,86100.0,-1.48
2003-03-12,37.83,36.76,37.95,36.17,90440.0,3.02
2003-03-13,36.01,37.85,38.14,35.75,97040.0,-4.81
2003-03-14,35.38,36.13,36.22,33.85,97940.0,-1.75
2003-03-17,34.93,35.98,36.95,34.0,90020.0,-1.27
2003-03-18,31.67,34.84,34.97,31.4,63350.0,-9.33
2003-03-19,29.88,31.77,32.42,29.5,55440.0,-5.65
2003-03-20,28.61,29.85,30.6,28.0,26350.0,-4.25
2003-03-21,26.91,28.25,28.62,26.3,99960.0,-5.94
2003-03-24,28.66,27.37,28.9,27.21,71670.0,6.5
2003-03-25,27.97,28.65,29.7,27.8,91290.0,-2.41
2003-03-26,28.63,28.1,28.95,28.06,73970.0,2.36
2003-03-27,30.37,28.73,30.45,28.55,76330.0,6.08
2003-03-28,30.16,30.4,31.05,29.85,62050.0,-0.69
2003-03-31,31.04,30.24,31.3,30.07,46660.0,2.92
2003-04-01,29.78,31.16,31.32,29.58,61230.0,-4.06
2003-04-02,28.56,29.78,29.83,28.18,66960.0,-4.1
2003-04-03,28.97,28.5,29.24,27.66,63350.0,1.44
2003-04-04,28.62,28.98,29.07,27.82,56570.0,-1.21
2003-04-07,27.96,28.0,28.7,27.15,64670.0,-2.31
2003-04-08,28.0,27.89,28.38,27.31,59960.0,0.14
2003-04-09,28.85,28.1,28.95,27.78,69050.0,3.04
2003-04-10,27.46,28.85,28.92,27.3,87440.0,-4.82
2003-04-11,28.14,27.47,28.25,27.02,67670.0,2.48
2003-04-14,28.63,28.15,28.65,27.57,62490.0,1.74
2003-04-15,29.29,28.55,29.44,28.28,67840.0,2.31
2003-04-16,29.18,29.31,29.65,28.52,75180.0,-0.38
2003-04-17,30.55,29.1,30.65,29.1,52780.0,4.69
2003-04-21,30.87,30.25,31.25,30.06,44300.0,1.05
2003-04-22,29.91,30.8,30.85,29.6,49330.0,-3.11
2003-04-23,26.65,27.9,28.22,26.36,103200.0,-10.9
2003-04-24,26.64,26.6,26.94,25.61,101500.0,-0.04
2003-04-25,26.26,26.68,27.05,26.0,78210.0,-1.43
2003-04-28,25.49,26.2,26.2,25.3,72990.0,-2.93
2003-04-29,25.24,25.35,25.55,25.04,67750.0,-0.98
2003-04-30,25.8,25.27,26.5,25.25,106190.0,2.22
2003-05-01,26.03,25.95,26.38,25.8,63780.0,0.89
2003-05-02,25.67,26.1,26.6,25.42,76390.0,-1.38
2003-05-05,26.49,25.52,26.53,25.5,64680.0,3.19
2003-05-06,25.72,26.51,26.51,25.46,82880.0,-2.91
2003-05-07,26.23,25.7,26.35,25.5,80450.0,1.98
2003-05-08,26.98,26.23,27.35,26.0,114420.0,2.86
2003-05-09,27.72,26.98,27.95,26.86,92480.0,2.74
2003-05-12,27.35,27.59,28.45,27.22,91930.0,-1.33
2003-05-13,28.5,27.4,28.55,27.26,82520.0,4.2
2003-05-14,29.17,28.45,29.35,27.95,97030.0,2.35
2003-05-15,28.74,29.21,29.48,28.5,84180.0,-1.47
2003-05-16,29.14,28.6,29.2,28.25,57530.0,1.39
2003-05-19,28.83,29.16,29.48,28.52,73840.0,-1.06
2003-05-20,29.28,28.85,29.45,28.51,60670.0,1.56
2003-05-21,29.03,28.35,29.6,28.3,101800.0,-0.85
2003-05-22,28.85,29.04,29.04,28.38,69160.0,-0.62
2003-05-23,29.16,28.86,29.45,28.75,43790.0,1.07
2003-05-27,29.35,29.16,29.63,28.55,82030.0,0.65
2003-05-28,28.58,29.26,29.32,28.47,60400.0,-2.62
2003-05-29,29.1,28.56,29.38,28.27,90660.0,1.82
2003-05-30,29.56,29.02,29.65,29.02,64260.0,1.58
2003-06-02,30.71,29.49,30.84,29.49,90950.0,3.89
2003-06-03,30.67,30.65,30.86,30.33,59000.0,-0.13
2003-06-04,30.05,30.78,31.0,29.9,96890.0,-2.02
2003-06-05,30.74,30.05,30.82,29.65,81560.0,2.3
2003-06-06,31.28,30.78,31.3,30.65,71450.0,1.76
2003-06-09,31.45,31.28,31.85,30.79,70200.0,0.54
2003-06-10,31.73,31.4,31.76,30.9,72430.0,0.89
2003-06-11,32.36,31.75,32.5,31.46,89790.0,1.99
2003-06-12,31.51,32.12,32.27,31.36,80840.0,-2.63
2003-06-13,30.65,31.51,31.56,29.85,93750.0,-2.73
2003-06-16,31.18,30.5,31.25,30.43,73460.0,1.73
2003-06-17,31.07,31.13,31.35,30.8,52180.0,-0.35
2003-06-18,30.36,31.05,31.08,29.8,61960.0,-2.29
2003-06-19,29.96,30.32,30.33,29.7,54080.0,-1.32
2003-06-20,30.82,29.88,30.95,29.85,43780.0,2.87
2003-06-23,29.17,29.53,29.76,28.86,57350.0,-5.35
2003-06-24,28.78,29.14,29.2,28.53,61200.0,-1.34
2003-06-25,29.95,28.78,30.05,28.61,97940.0,4.07
2003-06-26,29.01,29.95,30.02,28.86,84870.0,-3.14
2003-06-27,29.27,29.01,29.49,28.83,62790.0,0.9
2003-06-30,30.19,29.3,30.21,29.1,74540.0,3.14
2003-07-01,30.4,30.12,30.5,29.7,66780.0,0.7
2003-07-02,30.15,30.32,30.7,29.9,63600.0,-0.82
2003-07-03,30.42,30.14,30.98,30.07,67500.0,0.9
2003-07-07,30.13,30.15,30.25,29.82,50770.0,-0.95
2003-07-08,30.22,30.13,30.31,29.52,78100.0,0.3
2003-07-09,30.88,30.22,30.9,30.0,92230.0,2.18
2003-07-10,31.06,30.88,31.6,30.82,93480.0,0.58
2003-07-11,31.28,31.01,31.75,30.9,77340.0,0.71
2003-07-14,31.27,31.15,31.42,30.65,72330.0,-0.03
2003-07-15,31.62,31.34,31.73,30.95,89780.0,1.12
2003-07-16,31.05,31.65,32.05,30.92,96850.0,-1.8
2003-07-17,31.41,31.03,31.6,31.0,66720.0,1.16
2003-07-18,31.96,31.44,32.0,31.16,43670.0,1.75
2003-07-21,31.78,32.0,32.1,31.25,52740.0,-0.56
2003-07-22,30.19,31.72,31.73,29.7,48390.0,-5.0
2003-07-23,29.67,29.47,29.83,29.17,82770.0,-1.72
2003-07-24,30.22,29.72,30.25,29.4,74870.0,1.85
2003-07-25,30.17,30.21,30.45,29.91,59910.0,-0.17
2003-07-28,30.11,29.97,30.35,29.6,47000.0,-0.2
2003-07-29,30.24,30.1,30.4,29.76,53710.0,0.43
2003-07-30,30.68,30.2,30.8,30.0,79810.0,1.46
2003-07-31,30.54,30.7,30.98,30.4,69190.0,-0.46
2003-08-01,32.31,30.58,32.38,30.5,124910.0,5.8
2003-08-04,31.84,32.15,32.4,31.8,81260.0,-1.45
2003-08-05,32.22,31.79,32.49,31.67,70120.0,1.19
2003-08-06,31.7,32.27,32.8,31.45,104570.0,-1.61
2003-08-07,32.39,31.67,32.44,31.67,90530.0,2.18
2003-08-08,32.18,32.39,32.85,31.7,103580.0,-0.65
2003-08-11,32.01,32.14,32.15,31.83,64460.0,-0.53
2003-08-12,31.92,32.0,32.35,31.35,118300.0,-0.28
2003-08-13,30.78,31.88,32.16,30.7,128090.0,-3.57
